Concelho,Nome_Entidade,Frequência [MHz],PAR [W],Raio [Km],Morada_Estação,Local_Estação,PS,PI,AF,Cobertura,Microcobertura,Desc_Operador,Latitude PlaGE,Longitude PlaGE,Latitude Corrigida,Longitude Corrigida,Coord Corrig.,Distrito,Concelho,Freguesia
Benavente,"Irís - Serviço de Informação Regional Independente, Limitada.",     91.400000,2000.000,47.0828907919883,R. OPERÁRIOS AGRÍCOLAS,Samora Correia,IRISFM,801B,N,Local,Não,,38.934722222,-8.868333333,38.934722222,-8.868333333,Não,Santarém,Benavente,Samora Correia
Bombarral,"Match FM Unipessoal, Lda.",     94.800000,1000.000,39.5918340867651,DEP. AGUA,SALGUEIRO,GOLO FM,8046.000,N,Local,Não,,39.3125,-9.125,39.3125,-9.125,Não,Leiria,Bombarral,Carvalhal
Borba,"MEDIABORBA - Sociedade de Comunicação Social, Unipessoal, Lda.",     93.800000,1000.000,39.5918340867651,OUTEIRO DOS PINHEIROS,MATRIZ,BORBA,80DB,N,Local,Não,,38.814166667,-7.465555556,38.814444444,-7.465555556,Sim,Évora,Borba,Borba (Matriz)
Boticas,FORUM BOTICAS - Associação Recreativa e Cultural,    103.900000,500.000,33.2926313568806,SAPIÃOS - BOTICAS,SERRA LEIRANCO,BOTICAS,80B5,N,Local,Não,,41.7325,-7.648888889,41.732777778,-7.649166667,Sim,Vila Real,Boticas,Ardãos e Bobadela
Braga,"Rádio e Televisão de Portugal, S.A.",     88.000000,5000.000,59.203600847957,SAMEIRO,BRAGA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.539722222,-8.368333333,41.5375,-8.3675,Sim,Braga,Braga,Espinho
Braga,"Rádio e Televisão de Portugal, S.A.",    103.000000,10000.000,70.4053433621716,SAMEIRO,BRAGA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.539722222,-8.368333333,41.5375,-8.3675,Sim,Braga,Braga,Espinho
Braga,"Rádio e Televisão de Portugal, S.A.",     91.300000,10000.000,70.4053433621716,SAMEIRO,BRAGA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.539722222,-8.368333333,41.5375,-8.3675,Sim,Braga,Braga,Espinho
Braga,"RTM - Rádio e Televisão do Minho, Lda.",     92.900000,2000.000,47.0828907919883,SANTA MARTA DAS CORTIÇAS,BRAGA,RC_MINHO,805A,N,Local,Não,,41.515555556,-8.396111111,41.513611111,-8.395277778,Sim,Braga,Braga,Esporões
Braga,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    106.900000,10000.000,70.4053433621716,SAMEIRO,BRAGA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.5375,-8.3675,41.538333333,-8.366666667,Sim,Braga,Braga,Espinho
Braga,"Rádio Comercial, S.A.",     99.200000,10000.000,70.4053433621716,SANTA MARTA DAS CORTIÇAS,BRAGA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,41.513888889,-8.395555556,41.513611111,-8.395277778,Sim,Braga,Braga,Esporões
Braga,"Rádio Renascença, Lda.",    101.100000,10000.000,70.4053433621716,SAMEIRO,BRAGA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.5375,-8.367777778,41.537222222,-8.367222222,Sim,Braga,Braga,Espinho
Braga,"Rádio Renascença, Lda.",     89.700000,1000.000,39.5918340867651,SAMEIRO,BRAGA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.5375,-8.367777778,41.537222222,-8.367222222,Sim,Braga,Braga,Espinho
Braga,Associação Académica da Universidade do Minho,     97.500000,1000.000,39.5918340867651,STA MARTA DAS CORTIÇAS,BRAGA,RUM,803B,N,Local,Não,,41.515555556,-8.396111111,41.513611111,-8.395277778,Sim,Braga,Braga,Esporões
Braga,"Antena Minho Emissora Regional de Braga, Lda.",    106.000000,2000.000,47.0828907919883,SANTA MARTA DAS CORTIÇAS,BRAGA,ANTMINHO,802B,N,Local,Não,,41.515555556,-8.396111111,41.515,-8.394444444,Sim,Braga,Braga,Esporões
Bragança,"Rádio e Televisão de Portugal, S.A.",     96.400000,10000.000,70.4053433621716,SÃO BARTOLOMEU,BRAGANÇA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.795,-6.748888889,41.794722222,-6.751388889,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"Rádio e Televisão de Portugal, S.A.",    104.200000,10000.000,70.4053433621716,SÃO BARTOLOMEU,BRAGANÇA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.795,-6.748888889,41.794722222,-6.751388889,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"Rádio e Televisão de Portugal, S.A.",     98.200000,10000.000,70.4053433621716,SÃO BARTOLOMEU,BRAGANÇA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.795,-6.748888889,41.794722222,-6.751388889,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    107.000000,10000.000,70.4053433621716,SÃO BARTOLOMEU,BRAGANÇA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.795833333,-6.751944444,41.795277778,-6.751666667,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"RCChaves - Rádio Clube de Chaves FM Unipessoal, Lda.",     91.500000,500.000,33.2926313568806,REBORDÃOS,SERRA DA NOGUEIRA,REGIONAL,80FD,N,Local,Não,,41.7175,-6.854722222,41.718611111,-6.852777778,Sim,Bragança,Bragança,Rebordãos
Bragança,"Rádio Comercial, S.A.",     93.900000,10000.000,70.4053433621716,SERRA DA NOGUEIRA,BRAGANÇA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,41.719166667,-6.853055556,41.718333333,-6.853055556,Sim,Bragança,Bragança,Rebordãos
Bragança,"Rádio Renascença, Lda.",     99.500000,10000.000,70.4053433621716, SÃO BARTOLOMEU,BRAGANÇA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.8,-6.75,41.795555556,-6.746388889,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"Rádio Renascença, Lda.",    105.700000,10000.000,70.4053433621716,SÃO BARTOLOMEU,BRAGANÇA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.8,-6.75,41.795555556,-6.746388889,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"Rádio Bragançana, C.R.L.",     89.200000,1000.000,39.5918340867651,SERRA DA NOGUEIRA,BRAGANÇA,M80 RBA,846A,S,Local,Não,,41.719166667,-6.853055556,41.718333333,-6.853055556,Sim,Bragança,Bragança,Rebordãos
Bragança,"Rádio Bragançana, C.R.L.",     90.000000,50.000,18.721822436302,SÃO BARTOLOMEU,BRAGANÇA,M80 RBA,846A,S,Local,Sim,,41.795833333,-6.750555556,41.795555556,-6.751111111,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Bragança,"Cooperativa de Radiodifusão Brigantia, C.R.L.",     97.700000,1000.000,39.5918340867651,SERRA DA NOGUEIRA,BRAGANÇA,BRIGNTIA,8468.000,S,Local,Não,,41.718611111,-6.853055556,41.718611111,-6.853055556,Sim,Bragança,Bragança,Rebordãos
Bragança,"Cooperativa de Radiodifusão Brigantia, C.R.L.",     97.300000,50.000,18.721822436302, SÃO BARTOLOMEU,BRAGANÇA,BRIGNTIA,8468.000,S,Local,Sim,,41.795833333,-6.750277778,41.795555556,-6.746111111,Sim,Bragança,Bragança,"Sé, Santa Maria e Meixedo"
Cabeceiras de Basto,"Basminho - Publicidade, Lda.",    100.600000,1000.000,39.5918340867651,CABECEIRAS DE BASTO,MONTE SENHORA DA ORADA,VOZBASTO,84B8,S,Local,Não,,41.489166667,-8.024722222,41.489722222,-8.025,Sim,Braga,Cabeceiras de Basto,Alvite e Passos
Caldas da Rainha,"PENSE POSITIVO, Edição e Distribuição de Audiovisuais, Lda.",    103.100000,1000.000,39.5918340867651,CS BELVER,CALDAS DA RAINHA,R.CALDAS,8069.000,N,Local,Não,,39.412222222,-9.118611111,39.412222222,-9.118611111,Não,Leiria,Caldas da Rainha,"Nossa Senhora do Pópulo, Coto e São Gregório"
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",     93.300000,1000.000,39.5918340867651,PAUL DA SERRA,PAUL DA SERRA,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.754722222,-17.135,32.754722222,-17.135,Sim,Madeira,Calheta (Madeira),Calheta
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",    101.900000,1000.000,39.5918340867651,PAUL DA SERRA,PAUL DA SERRA,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.754722222,-17.135,32.754722222,-17.135,Sim,Madeira,Calheta (Madeira),Calheta
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",     90.200000,1000.000,39.5918340867651,,PONTA DO PARGO,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.811944444,-17.253888889,32.815833333,-17.256388889,Sim,Madeira,Calheta (Madeira),Ponta do Pargo
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",     94.600000,1000.000,39.5918340867651,,PONTA DO PARGO,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.811944444,-17.253888889,32.815833333,-17.256388889,Sim,Madeira,Calheta (Madeira),Ponta do Pargo
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",     92.000000,100.000,22.2641244470679,FAJÃ DA OVELHA,MAÇAPEZ,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.770555556,-17.238333333,32.770555556,-17.238611111,Sim,Madeira,Calheta (Madeira),Fajã da Ovelha
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",     95.700000,100.000,22.2641244470679,FAJÃ DA OVELHA,MAÇAPEZ,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.770555556,-17.238333333,32.770555556,-17.238611111,Sim,Madeira,Calheta (Madeira),Fajã da Ovelha
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",    105.400000,100.000,22.2641244470679,,VILA DA CALHETA,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.723055556,-17.1825,32.723055556,-17.182222222,Sim,Madeira,Calheta (Madeira),Calheta
Calheta (Madeira),"Rádio e Televisão de Portugal, S.A.",    107.500000,100.000,22.2641244470679,,VILA DA CALHETA,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.723055556,-17.1825,32.723055556,-17.182222222,Sim,Madeira,Calheta (Madeira),Calheta
Calheta (Madeira),"Radiurbe - Produção e Comércio de Publicidade Rádio, Unipessoal, Lda.",     98.800000,500.000,33.2926313568806,ROCHÃO,Arco da Calheta,RCALHETA,8430.000,S,Local,Não,,32.725833333,-17.136944444,32.725833333,-17.136944444,Sim,Madeira,Calheta (Madeira),Arco da Calheta
Calheta (Madeira),"Radiurbe - Produção e Comércio de Publicidade Rádio, Unipessoal, Lda.",    107.100000,50.000,18.721822436302,,FAJÃ DA OVELHA,RCALHETA,8430.000,S,Local,Sim,,32.781666667,-17.224166667,32.781388889,-17.23,Sim,Madeira,Calheta (Madeira),Fajã da Ovelha
Calheta (Madeira),"Radiurbe - Produção e Comércio de Publicidade Rádio, Unipessoal, Lda.",    102.700000,50.000,18.721822436302,,CALHETA,RCALHETA,8430.000,S,Local,Sim,,32.721388889,-17.175277778,32.723055556,-17.182222222,Sim,Madeira,Calheta (Madeira),Calheta
Calheta (Madeira),"Radiurbe - Produção e Comércio de Publicidade Rádio, Unipessoal, Lda.",    104.300000,50.000,18.721822436302,Rua Cais,Paúl do Mar,RCALHETA,8430.000,S,Local,Sim,,32.748333333,-17.213611111,32.752222222,-17.216388889,Sim,Madeira,Calheta (Madeira),Prazeres
Câmara de Lobos,"Rádio e Televisão de Portugal, S.A.",     96.700000,1000.000,39.5918340867651,PICO DO GALO,CABO GIRÃO,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.661666667,-17.003055556,32.659166667,-17.005277778,Sim,Madeira,Câmara de Lobos,Câmara de Lobos
Câmara de Lobos,"Rádio e Televisão de Portugal, S.A.",     94.800000,1000.000,39.5918340867651,PICO DO GALO,CABO GIRÃO,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.661666667,-17.003055556,32.659166667,-17.005277778,Sim,Madeira,Câmara de Lobos,Câmara de Lobos
Câmara de Lobos,"Rádio e Televisão de Portugal, S.A.",     99.400000,2999.991,52.1057448873363,PICO DO GALO,CABO GIRÃO,,,,Nacional,Não,Rede 2 de Cobertura Nacional,32.661666667,-17.003055556,32.659166667,-17.005277778,Sim,Madeira,Câmara de Lobos,Câmara de Lobos
Câmara de Lobos,"Ramos, Marques e Vasconcelos, Lda.",     98.400000,500.000,33.2926313568806,CRUZ DAS MOÇAS,PICO DA CRUZ,RFESTVAL,8026.000,N,Local,Não,,32.682222222,-17.000277778,32.684444444,-17.004444444,Sim,Madeira,Câmara de Lobos,Jardim da Serra
Câmara de Lobos,"SPN - Sociedade Produtora de Notícias, Lda.",    101.000000,2000.000,47.0828907919883,CRUZ DAS MOÇAS,PICO DA CRUZ,RPOPULAR,801E,N,Local,Não,,32.682222222,-17.000277778,32.684444444,-17.004444444,Sim,Madeira,Câmara de Lobos,Jardim da Serra
Caminha,"Rádio e Televisão de Portugal, S.A.",     88.000000,500.000,33.2926313568806,COVA DO ZÉM (CRUZEIRO),MOLEDO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.835555556,-8.865833333,41.837222222,-8.866111111,Sim,Viana do Castelo,Caminha,Moledo e Cristelo
Caminha,"Rádio e Televisão de Portugal, S.A.",    102.900000,500.000,33.2926313568806,COVA DO ZÉM (CRUZEIRO),MOLEDO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.835555556,-8.865833333,41.837222222,-8.866111111,Sim,Viana do Castelo,Caminha,Moledo e Cristelo
Caminha,"Rádio e Televisão de Portugal, S.A.",     92.300000,500.000,33.2926313568806,COVA DO ZÉM (CRUZEIRO),MOLEDO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.835555556,-8.865833333,41.837222222,-8.866111111,Sim,Viana do Castelo,Caminha,Moledo e Cristelo
Caminha,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",     94.400000,199.526,26.4609538220526,,MOLEDO,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.832222222,-8.863888889,41.8325,-8.863888889,Sim,Viana do Castelo,Caminha,Moledo e Cristelo
Caminha,"Rádio Jornal Caminhense, Lda.",    106.200000,1000.000,39.5918340867651,Pedra Alçada,SERRA DE ARGA,CAMINHA,80A2,N,Local,Não,,41.830833333,-8.748333333,41.831111111,-8.748611111,Sim,Viana do Castelo,Caminha,Dem
Campo Maior,"Palavras Originais - Unipessoal, Lda.",     95.900000,500.000,33.2926313568806,HORTA DA CHANCARINA,CAMPO MAIOR,RCM,80DF,N,Local,Não,,39.028888889,-7.086111111,39.026944444,-7.085833333,Sim,Portalegre,Campo Maior,São João Baptista
Cantanhede,"Rádio do Concelho de Cantanhede, Lda.",    103.000000,2000.000,47.0828907919883,AMEIXOEIRA,CANTANHEDE,STAR CAN,801D,N,Local,Não,,40.268055556,-8.558611111,40.267777778,-8.558333333,Sim,Coimbra,Cantanhede,Ançã
Carrazeda de Ansiães,"Cooperativa de Rádio Ansiães, C.R.L.",     98.100000,1000.000,39.5918340867651,SENHORA DA GRAÇA,SAMORINHA,ANSIAES,8083.000,N,Local,Não,,41.261666667,-7.305277778,41.259166667,-7.308055556,Sim,Bragança,Carrazeda de Ansiães,Carrazeda de Ansiães
Cartaxo,"Rádio Cartaxo, C.R.L.",    102.900000,500.000,33.2926313568806,LARGO VALVERDE,CARTAXO,TEJOFM,8081.000,N,Local,Não,,39.162222222,-8.79,39.162222222,-8.79,Não,Santarém,Cartaxo,Cartaxo e Vale da Pinta
Castanheira de Pêra,"Fercorber - Madeiras e Materiais de Construção, Lda.",     97.800000,500.000,33.2926313568806,,SANTO ANTÓNIO DA NEVE,PAMP97.8,80F2,N,Local,Não,,40.077777778,-8.159722222,40.076666667,-8.1625,Sim,Leiria,Castanheira de Pêra,Castanheira de Pêra e Coentral
Castanheira de Pêra,"Rádio Comercial, S.A.",     90.800000,43999.729,101.968990847879,SANTO ANTONIO DAS NEVES,LOUSÃ,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,40.077222222,-8.1625,40.077222222,-8.1625,Sim,Leiria,Castanheira de Pêra,Castanheira de Pêra e Coentral
Castanheira de Pêra,"Rádio Renascença, Lda.",     91.700000,56000.254,108.306150495784,TREVIM,LOUSÃ,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.088333333,-8.1775,40.091666667,-8.178333333,Sim,Leiria,Castanheira de Pêra,Castanheira de Pêra e Coentral
Castanheira de Pêra,"Rádio Renascença, Lda.",    106.000000,49999.999,105.280543861682,TREVIM,LOUSÃ,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.088333333,-8.1775,40.091666667,-8.178333333,Sim,Leiria,Castanheira de Pêra,Castanheira de Pêra e Coentral
Castanheira de Pêra,"Rádio Litoral Centro, Empresa de Rádiodifusão, Lda.",     92.800000,1000.000,39.5918340867651,CABEÇO DO PIÃO,CAMPELO,SMOOTHFI,8044.000,N,Local,Não,,40.043333333,-8.211388889,40.040277778,-8.214722222,Sim,Leiria,Castanheira de Pêra,Castanheira de Pêra e Coentral
Castelo Branco,"Rádio e Televisão de Portugal, S.A.",     89.900000,500.000,33.2926313568806,CASTELO - EDIFÍCIO DA PROTECÇÃO CIVIL,CASTELO BRANCO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.83,-7.494444444,39.83,-7.494444444,Não,Castelo Branco,Castelo Branco,Castelo Branco
Castelo Branco,"Rádio e Televisão de Portugal, S.A.",     94.900000,500.000,33.2926313568806,CASTELO - EDIFÍCIO DA PROTECÇÃO CIVIL,CASTELO BRANCO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,39.83,-7.494444444,39.83,-7.494444444,Não,Castelo Branco,Castelo Branco,Castelo Branco
Castelo Branco,"Rádio e Televisão de Portugal, S.A.",    104.300000,500.000,33.2926313568806,CASTELO - EDIFÍCIO DA PROTECÇÃO CIVIL,CASTELO BRANCO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,39.83,-7.494444444,39.83,-7.494444444,Não,Castelo Branco,Castelo Branco,Castelo Branco
Castelo Branco,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    105.100000,10000.000,70.4053433621716,,SERRA DA GARDUNHA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,40.080277778,-7.525277778,40.080277778,-7.525277778,Não,Castelo Branco,Castelo Branco,São Vicente da Beira
Castelo Branco,"Racab - Rádio Castelo Branco, Lda.",     92.000000,2000.000,47.0828907919883,CASTELINHO,CASTELO BRANCO,RCBranco,806B,N,Local,Não,,39.825833333,-7.4975,39.825833333,-7.4975,Não,Castelo Branco,Castelo Branco,Castelo Branco
Castelo Branco,"Rádio JL FM, Unipessoal, Lda.",     97.500000,50.000,18.721822436302,ALTO DO CASTELO,CASTELO BRANCO,URBANAFM,8474.000,S,Local,Sim,,39.825555556,-7.495833333,39.825555556,-7.495833333,Não,Castelo Branco,Castelo Branco,Castelo Branco
Castelo de Paiva,"Cooperativa Nova Paivense FM, C.R.L.",     99.500000,1000.000,39.5918340867651,SANTO ADRIÃO REAL,CASTELO DE PAIVA,PAIVENSE,8066.000,N,Local,Não,,40.985,-8.254722222,40.983055556,-8.254444444,Sim,Aveiro,Castelo de Paiva,Real
Castro Daire,"Cooperativa de Produções Radiofónicas Rádio Limite Castro Daire, C.R.L.",     89.000000,1000.000,39.5918340867651,LUGAR DO CRUZEIRO,PÓVOA DE MONTEMURO,R.LIMITE,84EC,S,Local,Não,,40.938888889,-7.991388889,40.938888889,-7.991388889,Não,Viseu,Castro Daire,Pinheiro
Castro Marim,"Antena Dez - Rádio Santo António, Lda.",    103.300000,1000.000,39.5918340867651,R DR JOSE A MOREIRA 30,CASTRO MARIM,,,,Local,Não,,37.216666667,-7.441666667,37.216944444,-7.441666667,Sim,Faro,Castro Marim,Castro Marim
Castro Verde,"Cortiçol - Cooperativa de Informação e Cultura, CRL",     93.000000,1000.000,39.5918340867651,ALMEIRIM,CASTRO VERDE,CASTRNSE,800000.000,N,Local,Não,,37.731944444,-8.144722222,37.731944444,-8.144722222,Sim,Beja,Castro Verde,Castro Verde e Casével
Celorico de Basto,"BASTOMÉDIA - Produções de Rádio e Espectáculos, Lda.",    105.600000,500.000,33.2926313568806,ALTO DO VISO,CELORICO DE BASTO,RR BASTO,849A,S,Local,Não,,41.411388889,-8.0625,41.411388889,-8.0625,Não,Braga,Celorico de Basto,Caçarilhe e Infesta
Celorico de Basto,"BASTOMÉDIA - Produções de Rádio e Espectáculos, Lda.",     93.100000,50.000,18.721822436302,CALVELO,FERVENÇA,RR BASTO,849A,S,Local,Sim,,41.371388889,-8.061666667,41.371388889,-8.061666667,Não,Braga,Celorico de Basto,Carvalho e Basto (Santa Tecla)
Chamusca,"Rádio Bonfim - Produções Audio Visuais, Lda.",    104.900000,500.000,33.2926313568806,MONTE DO BONFIM,CHAMUSCA,R.BONFIM,80F4,N,Local,Não,,39.354444444,-8.466944444,39.354444444,-8.466944444,Não,Santarém,Chamusca,Chamusca e Pinheiro Grande
Chaves,"Próvotexto Unipessoal, Lda",     93.500000,1000.000,39.5918340867651,NOGUEIRA DA MONTANHA,Carvela,CHAVESFM,808D,N,Local,Não,,41.6975,-7.437777778,41.6975,-7.437777778,Não,Vila Real,Chaves,Nogueira da Montanha
Cinfães,"Oficina de Video, Lda.",     87.800000,1000.000,39.5918340867651,PORTELA DA CORUJA,TAROUQUELA,MONTMURO,849C,S,Local,Não,,41.061944444,-8.178055556,41.061944444,-8.178055556,Não,Viseu,Cinfães,Tarouquela
Coimbra,"Rádio e Televisão de Portugal, S.A.",     94.900000,4000.000,55.9913087247286,RUA DR. ALBERTO REIS,COIMBRA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.216111111,-8.404722222,40.216944444,-8.408333333,Sim,Coimbra,Coimbra,Santo António dos Olivais
Coimbra,"Rádio e Televisão de Portugal, S.A.",    103.400000,1000.000,39.5918340867651,"RUA DR. JOSÉ ALBERTO DOS REIS, 74",COIMBRA,AFRICA,8458.000,S,Local,Não,RDP África,40.216111111,-8.404722222,40.216944444,-8.408333333,Sim,Coimbra,Coimbra,Santo António dos Olivais
Coimbra,"Rádio e Televisão de Portugal, S.A.",     88.300000,1000.000,39.5918340867651,Rua José Alberto dos Reis,Coimbra,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.216111111,-8.404722222,40.216111111,-8.404722222,Não,Coimbra,Coimbra,Santo António dos Olivais
Coimbra,"Rádio e Televisão de Portugal, S.A.",    101.200000,1000.000,39.5918340867651,Rua José Alberto dos Reis,Coimbra,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.216111111,-8.404722222,40.216111111,-8.404722222,Não,Coimbra,Coimbra,Santo António dos Olivais
Coimbra,Associação Académica de Coimbra,    107.900000,2000.000,47.0828907919883,OBSERVATORIO ASTRONOMICO,COIMBRA,RUC,8051.000,N,Local,Não,,40.201388889,-8.443611111,40.201388889,-8.443611111,Não,Coimbra,Coimbra,Santa Clara e Castelo Viegas
Coimbra,"PRC - Produções Radiofónicas de Coimbra, Lda.",     98.400000,5000.000,59.203600847957,CRUZ DE MOROUÇOS,COIMBRA,M80COIMB,80CB,N,Local,Não,,40.183888889,-8.453611111,40.1825,-8.455555556,Sim,Coimbra,Coimbra,Santa Clara e Castelo Viegas
Coimbra,"Rádio 90 FM, Coimbra - Radiodifusão, Lda.",     90.000000,5000.000,59.203600847957,CRUZ DE MOROUÇOS,COIMBRA,MEGAFM-C,802A,N,Local,Não,,40.184444444,-8.456944444,40.184444444,-8.456944444,Sim,Coimbra,Coimbra,Assafarge e Antanhol
Coimbra,"Cooperativa Santo André - Rádio e Cultura, C.R.L.",    100.500000,1000.000,39.5918340867651,SERRA DO CARVALHO,VILA NOVA DE POIARES,MUNDIAL,805E,N,Local,Não,,40.208888889,-8.323333333,40.208888889,-8.323333333,Sim,Coimbra,Coimbra,Torres do Mondego
Condeixa-a-Nova,"Rádio Regional Centro, Lda.",     96.200000,1000.000,39.5918340867651,SERRA DE JANEANES,MOINHO DO OUTEIRO,R.CENTRO,8017.000,N,Local,Não,,40.06,-8.480555556,40.059722222,-8.480277778,Sim,Coimbra,Condeixa-a-Nova,Zambujal
Coruche,"A Voz do Sorraia - Emissor Regional Concelho Coruche, C.R.L.",     94.700000,2000.000,47.0828907919883,DEPOSITO DE AGUA,CORUCHE,RSORRAIA,80EA,N,Local,Não,,38.964722222,-8.527777778,38.964722222,-8.527777778,Não,Santarém,Coruche,"Coruche, Fajarda e Erra"
Covilhã,"RCC - Rádio Clube da Covilhã, C.R.L.",     95.600000,1000.000,39.5918340867651,ALTO DE PIÇARRINHAS,COVILHÃ,RCOVILHA,8088.000,N,Local,Não,,40.284444444,-7.540833333,40.284444444,-7.540833333,Não,Castelo Branco,Covilhã,Covilhã e Canhoso
